text,label
" The best Call Of Duty and World War 2 game that I've ever played! Very immersive game, the sound is loud and realistic. A long game, if compared with its predecessors. I recommend this game for all the fans of first person shooters, especially for those of the WW2.",analysis
" Сюжет намного лучше, чем в 1 части. Графика странная (как будто всё сделано из воска).",reaction
 … Expand,reaction
" After many Call of Duty games, I have to say that this is still the best Call of Duty in the market. The campaign is not so full of itself like our modern CoD games, it's just a simple World War 2 shooter with you playing as the three major Allies (Russian, Britian, U.S.). The campaign itself plays out wonderfully, very fluid and memorable quotes from Price. The multiplayer is mostly why I… Expand",analysis
" Despite all the changes and gameplay changes since, CoD 2 still remains one of the overall best Call of Duty games to date. The Multiplayer mode offers a simplistic, yet rereshingly addictive playstyle. It's the campaign however, where COD 2 shines. Each stage (American, British and Russian) is divided into seperate acts; whilst this might hurt the storytelling side of things, each level… Expand",reaction
" This is the only game i have rated a 10/10. I love this game so much. Here is the rundown of my rating Graphics: ""Holy crap these are nice graphics!"" after 2 years of not playing this game. Call of Duty 2 may have the best 2005, maybe even up to 2007 graphics. 10/10 Single Player: The best single player i have ever played. No more. 10/10 Multiplayer: Amazing. There are full games even… Expand",analysis
" A true gem of it's time. I continue to enjoy this game much more than the newer Call of Duty's despite the years due to its simplicity and pace. Single-player is lackluster in plot-line but provide very well made level-designs despite its linear progression.,",reaction
 This game have good graphics and is nice for multiplayer game with a lot of servers and is the best game action for me.,analysis
 Respect for this game being the 3-rd game on my pc.Very beautifull crafted from all sides.Weapons vehicles tension enemies allies all form a almost perfect combination.Wining combination.,reaction
" Slightly Repetitive. Nice Design, way better than any of this new stupid rambo style adventure call of duty franchise. This is probablly one of the best shooters ever made. It just lacks good tactics and it feels like a Run N gun the entire time. Very fun and addicting if you dont mind running through shooting everything.",hot_take
" My all time favourite call of duty, partly for nostalgia, mostly because this is the call of duty that separated cod from the rest of the gaming world, It was well thought out save for a couple of glitches, which actually made the game more fun to play because you could jump through a window and outside the map just for the hell of it as some servers were dedicated to nothing but this.… Expand",analysis
" Weaker than the original COD, I never actually liked the idea of health regeneration without the usage of getting health packs and armor and all recent COD games do. Also the graphics and parts of the gameplay made me dizzy.",reaction
" This games does nothing to the genre. Nothing special in it. Nothing special at all. And that is the bad thing. Too many games have already done everything this game doing, and they have done it much better, so threre is no reason for this game to exist. NO SCORE. Single gaming (think in all platforms) is in deep crisis. Sad. They (most of developers) can not make cool, stylish, original,… Expand",hot_take
 Cool levels and scenes but really boring because of no plot. I still have not finished it. It got way to boring.,reaction
" Nothing new here, samegameplay as CoD, Small up in graphics. Weapon sound and recoil is unrelistic, no ragdolls. I get a constant 170 fps, It just dosn't seem all that great. A bad $50 if you ask me. CoD 3 looks like it should be more of an expansion that a whole game.",analysis
 Game of the year for 2006 definitely. Absolutely brilliant the best war game of all times.,reaction
" Single player is OK, It plays exactly like the original CoD just prettier. However sibgle playeris not where the games longevity lies. Multiplayer is rubbish. A huge step back from the original CoD. Plays more liek a console game ported onto the PC. I can cope with the bad points below in single player, but for multiplayer they are a huge problem. 1. NO PUNKBUSTER (anti-cheat)… Expand",analysis
" Nothing is good about this game. None said anything about bad frames. This is my spec p 3,0 , 1600 ram and x800xt and i need to play on the lowest q. Like they said before spend your money on other things or games , Cod2 is not worth it. Shame on you Infinity Ward.",analysis
" While the flashy graphics and new features make the game look a while lot better on the box, playing it shows how it really did little to improve the experience. It makes you feel like your in a war movie, but in that lies the problem. Movies are never as realistic as they aim to be. The seriousness of the situation gets blown away by the lack of realistic weapon characteristics and… Expand",analysis
" 1. rehashed game play: I've played this game before, many many times in many different scenerios, congratulations on the slightly better graphics but it doesn't warrent another game. 2. regenerating enemies: the bulk of the enemies you kill will be regens that spawn in random locations, you kill more people in this game than serious sam and quake 4 combined. 3. unrealistic game… Expand",hot_take
" It makes me sad that I wasted 50 bucks on this game, when that money could have been alot better spent. This game is definetly not worth the high price tag.",reaction
 Definitely not an improvement upon its predecessor. The guns are nerfed and it was engineered for toddlers. Not recommended.,hot_take
 Don't waste your money or time on this game. Activision/Infinity Ward has completely let go of this game. Call of Duty 2 is in desparate need of a patch that does not seem like will ever come. Looks like Activision/Infinity Ward took a page out of the EA handbook and let a game tank due to lack of support. Remember MOH:PA? It's too bad too because COD 2 has/had a load of potential.,hot_take
